        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                     0.066967908
                 0.10999                      0.56351477
                 0.20998                       1.0612545
                 0.30997                       1.5596906
                 0.40996                       2.0587884
                 0.50995                       2.5585423
                 0.60994                       3.0589524
                 0.70993                       3.5600201
                 0.80992                       4.0617476
                 0.90991                       4.5641375
                  1.0099                       5.0671924
                 1.10989                       5.5709151
                 1.20988                       6.0753083
                 1.30987                       6.5803749
                 1.40986                       7.0861178
                 1.50985                       7.5925398
                 1.60984                        8.099644
                 1.70983                       8.6074333
                 1.80982                       9.1159107
                 1.90981                       9.6250791
                  2.0098                       10.134942
                 2.10979                       10.645501
                 2.20978                       11.156761
                 2.30977                       11.668724
                 2.40976                       12.181393
                 2.50975                       12.694772
                 2.60974                       13.208863
                 2.70973                        13.72367
                 2.80972                       14.239196
                 2.90971                       14.755443
                  3.0097                       15.272416
                 3.10969                       15.790118
                 3.20968                        16.30855
                 3.30967                       16.827718
                 3.40966                       17.347624
                 3.50965                       17.868271
                 3.60964                       18.389663
                 3.70963                       18.911803
                 3.80962                       19.434694
                 3.90961                        19.95834
                  4.0096                       20.482743
                 4.10959                       21.007909
                 4.20958                       21.533839
                 4.30957                       22.060537
                 4.40956                       22.588006
                 4.50955                       23.116251
                 4.60954                       23.645275
                 4.70953                        24.17508
                 4.80952                       24.705671
                 4.90951                       25.237051
                  5.0095                       25.769224
                 5.10949                       26.302193
                 5.20948                       26.835962
                 5.30947                       27.370534
                 5.40946                       27.905913
                 5.50945                       28.442103
                 5.60944                       28.979107
                 5.70943                       29.516929
                 5.80942                       30.055573
                 5.90941                       30.595042
                  6.0094                        31.13534
                 6.10939                       31.676471
                 6.20938                       32.218439
                 6.30937                       32.761248
                 6.40936                         33.3049
                 6.50935                       33.849401
                 6.60934                       34.394754
                 6.70933                       34.940963
                 6.80932                       35.488032
                 6.90931                       36.035964
                  7.0093                       36.584764
                 7.10929                       37.134435
                 7.20928                       37.684983
                 7.30927                        38.23641
                 7.40926                        38.78872
                 7.50925                       39.341918
                 7.60924                       39.896008
                 7.70923                       40.450994
                 7.80922                        41.00688
                 7.90921                        41.56367
                  8.0092                       42.121368
                 8.10919                       42.679979
                 8.20918                       43.239506
                 8.30917                       43.799954
                 8.40916                       44.361327
                 8.50915                        44.92363
                 8.60914                       45.486867
                 8.70913                       46.051041
                 8.80912                       46.616158
                 8.90911                       47.182221
                  9.0091                       47.749236
                 9.10909                       48.317206
                 9.20908                       48.886136
                 9.30907                        49.45603
                 9.40906                       50.026894
                 9.50905                        50.59873
                 9.60904                       51.171545
                 9.70903                       51.745342
                 9.80902                       52.320126
                 9.90901                       52.895901
                  10.009                       53.472673
                10.10899                       54.050445
                10.20898                       54.629224
                10.30897                       55.209012
                10.40896                       55.789815
                10.50895                       56.371638
                10.60894                       56.954486
                10.70893                       57.538362
                10.80892                       58.123273
                10.90891                       58.709222
                 11.0089                       59.296216
                11.10889                       59.884258
                11.20888                       60.473353
                11.30887                       61.063507
                11.40886                       61.654725
                11.50885                       62.247011
                11.60884                        62.84037
                11.70883                       63.434808
                11.80882                        64.03033
                11.90881                        64.62694
                 12.0088                       65.224644
                12.10879                       65.823447
                12.20878                       66.423354
                12.30877                       67.024371
                12.40876                       67.626502
                12.50875                       68.229752
                12.60874                       68.834128
                12.70873                       69.439635
                12.80872                       70.046277
                12.90871                        70.65406
                 13.0087                       71.262989
                13.10869                       71.873071
                13.20868                        72.48431
                13.30867                       73.096711
                13.40866                       73.710281
                13.50865                       74.325025
                13.60864                       74.940948
                13.70863                       75.558056
                13.80862                       76.176354
                13.90861                       76.795849
                 14.0086                       77.416545
                14.10859                       78.038449
                14.20858                       78.661567
