        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                     0.031497069
                 0.10999                      0.44553008
                 0.20998                         0.84453
                 0.30997                       1.2282829
                 0.40996                       1.5965875
                 0.50995                        1.949259
                 0.60994                       2.2861418
                 0.70993                       2.6071049
                 0.80992                       2.9120357
                 0.90991                        3.200846
                  1.0099                       3.4734723
                 1.10989                       3.8146516
                 1.20988                       4.1547386
                 1.30987                       4.4936699
                 1.40986                       4.8313979
                 1.50985                       5.1678896
                 1.60984                       5.5031261
                 1.70983                       5.8371017
                 1.80982                       6.1698218
                 1.90981                       6.5013024
                  2.0098                       6.8315682
                 2.10979                       7.1606512
                 2.20978                       7.4885894
                 2.30977                       7.8154259
                 2.40976                        8.141207
                 2.50975                       8.4659819
                 2.60974                       8.7898011
                 2.70973                       9.1127163
                 2.80972                       9.4347791
                 2.90971                       9.7560406
                  3.0097                       10.076551
                 3.10969                        10.39636
                 3.20968                       10.715514
                 3.30967                        11.03406
                 3.40966                        11.35204
                 3.50965                       11.669498
                 3.60964                       11.986471
                 3.70963                       12.302998
                 3.80962                       12.619113
                 3.90961                       12.934851
                  4.0096                       13.250242
                 4.10959                       13.565315
                 4.20958                       13.880099
                 4.30957                       14.194617
                 4.40956                       14.508895
                 4.50955                       14.822955
                 4.60954                       15.136817
                 4.70953                       15.450501
                 4.80952                       15.764024
                 4.90951                       16.077403
                  5.0095                       16.390655
                 5.10949                       16.703792
                 5.20948                        17.01683
                 5.30947                        17.32978
                 5.40946                       17.642655
                 5.50945                       17.955465
                 5.60944                        18.26822
                 5.70943                        18.58093
                 5.80942                       18.896216
                 5.90941                       19.211562
                  6.0094                       19.526975
                 6.10939                       19.842463
                 6.20938                       20.158032
                 6.30937                        20.47369
                 6.40936                       20.789441
                 6.50935                       21.105293
                 6.60934                        21.42125
                 6.70933                       21.737319
                 6.80932                       22.053502
                 6.90931                       22.369807
                  7.0093                       22.686236
                 7.10929                       23.002794
                 7.20928                       23.319485
                 7.30927                       23.636314
                 7.40926                       23.953283
                 7.50925                       24.270397
                 7.60924                        24.58766
                 7.70923                       24.905073
                 7.80922                       25.222641
                 7.90921                       25.540367
                  8.0092                       25.858254
                 8.10919                       26.176305
                 8.20918                       26.494523
                 8.30917                       26.812911
                 8.40916                       27.131471
                 8.50915                       27.450207
                 8.60914                        27.76912
                 8.70913                       28.088215
                 8.80912                       28.407492
                 8.90911                       28.726956
                  9.0091                       29.046608
                 9.10909                       29.366451
                 9.20908                       29.686488
                 9.30907                       30.006721
                 9.40906                       30.327152
                 9.50905                       30.647784
                 9.60904                       30.968619
                 9.70903                        31.28966
                 9.80902                        31.61091
                 9.90901                        31.93237
                  10.009                       32.254043
                10.10899                       32.575931
                10.20898                       32.898037
                10.30897                       33.220363
                10.40896                       33.542912
                10.50895                       33.865686
                10.60894                       34.188687
                10.70893                       34.511917
                10.80892                        34.83538
                10.90891                       35.159077
                 11.0089                       35.483011
                11.10889                       35.807184
                11.20888                       36.131598
                11.30887                       36.456257
                11.40886                       36.781162
                11.50885                       37.106316
                11.60884                       37.431721
                11.70883                        37.75738
                11.80882                       38.083295
                11.90881                       38.409468
                 12.0088                       38.735903
                12.10879                       39.062601
                12.20878                       39.389565
                12.30877                       39.716797
                12.40876                         40.0443
                12.50875                       40.372077
                12.60874                       40.700129
                12.70873                        41.02846
                12.80872                       41.357072
                12.90871                       41.685967
                 13.0087                       42.015148
                13.10869                       42.344618
                13.20868                       42.674379
                13.30867                       43.005162
                13.40866                       43.336253
                13.50865                       43.667655
                13.60864                       43.999369
                13.70863                       44.331398
                13.80862                       44.663745
                13.90861                       44.996413
                 14.0086                       45.329405
                14.10859                       45.662722
                14.20858                       45.996368
                14.30857                       46.330346
                14.40856                       46.664658
                14.50855                       46.999306
                14.60854                       47.334295
                14.70853                       47.669625
                14.80852                       48.005301
                14.90851                       48.341324
                 15.0085                       48.677698
                15.10849                       49.014426
                15.20848                        49.35151
                15.30847                       49.688953
                15.40846                       50.026757
                15.50845                       50.364927
                15.60844                       50.703464
                15.70843                       51.042372
                15.80842                       51.381653
                15.90841                        51.72131
                 16.0084                       52.061347
                16.10839                       52.401765
                16.20838                       52.742568
                16.30837                        53.08376
                16.40836                       53.425342
                16.50835                       53.767318
                16.60834                       54.109691
                16.70833                       54.452464
                16.80832                        54.79564
                16.90831                       55.139221
                 17.0083                       55.483212
                17.10829                       55.827614
                17.20828                       56.172431
                17.30827                       56.517667
                17.40826                       56.863323
                17.50825                       57.209403
                17.60824                       57.555911
                17.70823                       57.902849
                17.80822                       58.250221
                17.90821                       58.598029
                 18.0082                       58.946277
                18.10819                       59.294968
                18.20818                       59.644105
                18.30817                       59.993692
                18.40816                        60.34373
                18.50815                       60.694225
                18.60814                       61.045178
                18.70813                       61.396593
                18.80812                       61.748473
                18.90811                       62.100822
                 19.0081                       62.453642
                19.10809                       62.806938
                19.20808                       63.160711
                19.30807                       63.514966
                19.40806                       63.869705
                19.50805                       64.224932
                19.60804                        64.58065
                19.70803                       64.936862
                19.80802                       65.293572
                19.90801                       65.650782
                  20.008                       66.008496
                20.10799                       66.366717
                20.20798                       66.725449
                20.30797                       67.084694
                20.40796                       67.444455
                20.50795                       67.804736
                20.60794                        68.16554
                20.70793                       68.526869
                20.80792                       68.888728
                20.90791                       69.251119
                 21.0079                       69.614044
                21.10789                       69.977508
                21.20788                       70.341512
                21.30787                       70.706061
                21.40786                       71.071157
                21.50785                       71.436802
                21.60784                       71.803001
                21.70783                       72.169756
                21.80782                        72.53707
                21.90781                       72.904946
                 22.0078                       73.273388
                22.10779                       73.642399
                22.20778                       74.011983
                22.30777                       74.382142
                22.40776                       74.752883
                22.50775                       75.124207
                22.60774                       75.496121
                22.70773                       75.868629
                22.80772                       76.241735
                22.90771                       76.615446
                 23.0077                       76.989766
                23.10769                       77.364703
                23.20768                       77.740262
                23.30767                       78.116449
                23.40766                       78.493272
                23.50765                       78.870736
                23.60764                       79.248848
                23.70763                       79.627616
                23.80762                       80.007044
                23.90761                        80.38714
                 24.0076                       80.767909
                24.10759                       81.149356
                24.20758                       81.531488
                24.30757                       81.914309
                24.40756                       82.297824
                24.50755                       82.682037
                24.60754                       83.066953
                24.70753                       83.452575
                24.80752                       83.838908
                24.90751                       84.225954
                      25                       84.584608
                 25.0075                       84.613737
                25.10749                       85.002588
                25.20748                       85.392167
                25.30747                       85.782477
                25.40746                       86.173523
                25.50745                       86.565307
                25.60744                       86.957833
                25.70743                       87.351104
                25.80742                       87.745126
                25.90741                       88.139901
                 26.0074                       88.535433
                26.10739                       88.931727
                26.20738                       89.328786
                26.30737                       89.726615
                26.40736                       90.125218
                26.50735                       90.524599
                26.60734                       90.924763
                26.70733                       91.325714
                26.80732                       91.727457
                26.90731                       92.129997
                 27.0073                       92.533338
                27.10729                       92.937484
                27.20728                       93.342442
                27.30727                       93.748215
                27.40726                       94.154808
                27.50725                       94.562227
                27.60724                       94.970476
                27.70723                       95.379561
                27.80722                       95.789487
                27.90721                       96.200258
                 28.0072                       96.611881
                28.10719                       97.024359
                28.20718                       97.437699
                28.30717                       97.851906
                28.40716                       98.266985
                28.50715                       98.682941
                28.60714                        99.09978
                28.70713                       99.517508
                28.80712                       99.936129
                28.90711                       100.35565
                 29.0071                       100.77608
                29.10709                       101.19741
                29.20708                       101.61966
                29.30707                       102.04284
                29.40706                       102.46694
                29.50705                       102.89198
                29.60704                       103.31795
                29.70703                       103.74487
                29.80702                       104.17274
                29.90701                       104.60156
                  30.007                       105.03135
                30.10699                       105.46211
                30.20698                       105.89384
                30.30697                       106.32655
                30.40696                       106.76025
                30.50695                       107.19494
                30.60694                       107.63063
                30.70693                       108.06733
                30.80692                       108.50503
                30.90691                       108.94375
                 31.0069                        109.3835
                31.10689                       109.82428
                31.20688                       110.26609
                31.30687                       110.70895
                31.40686                       111.15285
                31.50685                       111.59781
                31.60684                       112.04384
                31.70683                       112.49093
                31.80682                       112.93909
                31.90681                       113.38834
                 32.0068                       113.83868
                32.10679                       114.29012
                32.20678                       114.74265
                32.30677                        115.1963
                32.40676                       115.65106
                32.50675                       116.10694
                32.60674                       116.56395
                32.70673                       117.02211
                32.80672                        117.4814
                32.90671                       117.94185
                 33.0067                       118.40345
                33.10669                       118.86622
                33.20668                       119.33016
                33.30667                       119.79528
                33.40666                       120.26159
                33.50665                       120.72909
                33.60664                        121.1978
                33.70663                       121.66771
                33.80662                       122.13884
                33.90661                        122.6112
                 34.0066                       123.08479
                34.10659                       123.55962
                34.20658                       124.03569
                34.30657                       124.51302
                34.40656                       124.99162
                34.50655                        125.4717
                34.60654                       125.95305
                34.70653                        126.4357
                34.80652                       126.91965
                34.90651                       127.40489
                 35.0065                       127.89146
                35.10649                       128.37934
                35.20648                       128.86855
                35.30647                        129.3591
                35.40646                         129.851
                35.50645                       130.34425
                35.60644                       130.83886
                35.70643                       131.33485
                35.80642                       131.83222
                35.90641                       132.33097
                 36.0064                       132.83113
                36.10639                       133.33269
                36.20638                       133.83566
                36.30637                       134.34006
                36.40636                        134.8459
                36.50635                       135.35317
                36.60634                        135.8619
                36.70633                       136.37209
                36.80632                       136.88375
                36.90631                       137.39689
                 37.0063                       137.91152
                37.10629                       138.42764
                37.20628                       138.94528
                37.30627                       139.46443
                37.40626                       139.98511
                37.50625                       140.50733
                37.60624                       141.03109
                37.70623                       141.55641
                37.80622                       142.08329
                37.90621                       142.61176
                 38.0062                       143.14181
                38.10619                       143.67345
                38.20618                       144.20671
                38.30617                       144.74158
                38.40616                       145.27808
                38.50615                       145.81622
                38.60614                       146.35601
                38.70613                       146.89745
                38.80612                       147.44057
                38.90611                       147.98537
                 39.0061                       148.53186
                39.10609                       149.08006
                39.20608                       149.62996
                39.30607                        150.1816
                39.40606                       150.73497
                39.50605                       151.29009
                39.60604                       151.84697
                39.70603                       152.40562
                39.80602                       152.96605
                39.90601                       153.52827
                  40.006                       154.09231
                40.10599                       154.65816
                40.20598                       155.22584
                40.30597                       155.79536
                40.40596                       156.36673
                40.50595                       156.93997
                40.60594                        157.5151
                40.70593                       158.09211
                40.80592                       158.67102
                40.90591                       159.25185
                 41.0059                       159.83461
                41.10589                       160.41931
                41.20588                       161.00597
                41.30587                       161.59459
                41.40586                        162.1852
                41.50585                        162.7778
                41.60584                       163.37241
                41.70583                       163.96903
                41.80582                        164.5677
                41.90581                       165.16841
                 42.0058                       165.77118
                42.10579                       166.37603
                42.20578                       166.98296
                42.30577                       167.59201
                42.40576                       168.20317
                42.50575                       168.81646
                42.60574                        169.4319
                42.70573                       170.04951
                42.80572                       170.66929
                42.90571                       171.29126
                 43.0057                       171.91543
                43.10569                       172.54183
                43.20568                       173.17047
                43.30567                       173.80136
                43.40566                       174.43451
                43.50565                       175.06995
                43.60564                       175.70769
                43.70563                       176.34774
                43.80562                       176.99013
                43.90561                       177.63486
                 44.0056                       178.28196
                44.10559                       178.93143
                44.20558                        179.5833
                44.30557                       180.23759
                44.40556                        180.8943
                44.50555                       181.55347
                44.60554                        182.2151
                44.70553                        182.8792
                44.80552                       183.54581
                44.90551                       184.21494
                 45.0055                        184.8866
                45.10549                       185.56081
                45.20548                       186.23759
                45.30547                       186.91697
                45.40546                       187.59895
                45.50545                       188.28355
                45.60544                        188.9708
                45.70543                       189.66072
                45.80542                       190.35332
                45.90541                       191.04862
                 46.0054                       191.74664
                46.10539                        192.4474
                46.20538                       193.15092
                46.30537                       193.85723
                46.40536                       194.56633
                46.50535                       195.27826
                46.60534                       195.99303
                46.70533                       196.71066
                46.80532                       197.43118
                46.90531                        198.1546
                 47.0053                       198.88094
                47.10529                       199.61024
                47.20528                        200.3425
                47.30527                       201.07776
                47.40526                       201.81603
                47.50525                       202.55733
                47.60524                        203.3017
                47.70523                       204.04914
                47.80522                       204.79969
                47.90521                       205.55337
                 48.0052                        206.3102
                48.10519                        207.0702
                48.20518                       207.83341
                48.30517                       208.59984
                48.40516                       209.36951
                48.50515                       210.14246
                48.60514                       210.91871
                48.70513                       211.69829
                48.80512                       212.48122
                48.90511                       213.26754
                 49.0051                       214.05726
                49.10509                       214.85043
                49.20508                       215.64708
                49.30507                       216.44725
                49.40506                       217.25099
                49.50505                       218.05839
                49.60504                       218.86954
                49.70503                       219.68465
                49.80502                       220.50409
                49.90501                       221.32846
                      50                       222.11634
                  50.005                       222.15791
                50.10499                       222.98901
                50.20498                       223.81848
                50.30497                       224.65096
                50.40496                       225.48869
                50.50495                        226.3313
                50.60494                       227.17834
                50.70493                       228.02958
                50.80492                        228.8849
                50.90491                       229.74426
                 51.0049                       230.60766
                51.10489                       231.47511
                51.20488                       232.34662
                51.30487                       233.22221
                51.40486                       234.10193
                51.50485                       234.98578
                51.60484                       235.87381
                51.70483                       236.76605
                51.80482                       237.66252
                51.90481                       238.56327
                 52.0048                       239.46832
                52.10479                       240.37771
                52.20478                       241.29148
                52.30477                       242.20966
                52.40476                       243.13228
                52.50475                       244.05939
                52.60474                       244.99102
                52.70473                       245.92721
                52.80472                         246.868
                52.90471                       247.81342
                 53.0047                       248.76351
                53.10469                       249.71831
                53.20468                       250.67787
                53.30467                       251.64222
                53.40466                        252.6114
                53.50465                       253.58545
                53.60464                       254.56454
                53.70463                       255.54858
                53.80462                       256.53762
