NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","10:12:44",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
801,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 8.2096E-2,
154963, 5.2328E-1,
279925, 9.7543E-1,
404888, 1.4201E+0,
529850, 1.869E+0,
654813, 2.286E+0,
779775, 2.6992E+0,
904738, 3.1487E+0,
1029700, 3.5984E+0,
1154663, 4.021E+0,
1279625, 4.4473E+0,
1404588, 4.9072E+0,
1529550, 5.3291E+0,
1654513, 5.752E+0,
1779475, 6.2195E+0,
1904438, 6.6094E+0,
2029400, 7.0576E+0,
2154363, 7.4912E+0,
2279325, 7.9399E+0,
2404288, 8.3428E+0,
2529250, 8.7769E+0,
2654213, 9.2314E+0,
2779175, 9.6724E+0,
2904138, 1.0126E+1,
3029100, 1.054E+1,
3154063, 1.0979E+1,
3279025, 1.1423E+1,
3403988, 1.1842E+1,
3528950, 1.2259E+1,
3653913, 1.2702E+1,
3778875, 1.3141E+1,
3903838, 1.356E+1,
4028800, 1.4023E+1,
4153763, 1.4468E+1,
4278725, 1.4885E+1,
4403688, 1.5361E+1,
4528650, 1.5761E+1,
4653613, 1.615E+1,
4778575, 1.6629E+1,
4903538, 1.7111E+1,
5028500, 1.7522E+1,
5153463, 1.7925E+1,
5278425, 1.8364E+1,
5403388, 1.8848E+1,
5528350, 1.9265E+1,
5653313, 1.972E+1,
5778275, 2.0169E+1,
5903238, 2.0556E+1,
6028200, 2.1051E+1,
6153163, 2.1443E+1,
6278125, 2.1899E+1,
6403088, 2.2303E+1,
6528050, 2.2742E+1,
6653013, 2.3209E+1,
6777975, 2.3629E+1,
6902938, 2.4105E+1,
7027900, 2.4533E+1,
7152863, 2.4979E+1,
7277825, 2.5428E+1,
7402788, 2.5849E+1,
7527750, 2.629E+1,
7652713, 2.6725E+1,
7777675, 2.7181E+1,
7902638, 2.7582E+1,
8027600, 2.803E+1,
8152563, 2.8485E+1,
8277525, 2.8934E+1,
8402488, 2.9421E+1,
8527450, 2.9831E+1,
8652413, 3.0278E+1,
8777375, 3.0673E+1,
8902338, 3.1161E+1,
9027300, 3.1629E+1,
9152263, 3.2107E+1,
9277225, 3.2525E+1,
9402188, 3.2953E+1,
9527150, 3.3381E+1,
9652113, 3.3848E+1,
9777075, 3.4316E+1,
9902038, 3.4707E+1,
10027000, 3.5215E+1,
10151963, 3.5648E+1,
10276925, 3.6119E+1,
10401888, 3.6625E+1,
10526850, 3.6992E+1,
10651813, 3.7459E+1,
10776775, 3.7912E+1,
10901738, 3.8373E+1,
11026700, 3.8855E+1,
11151663, 3.9293E+1,
11276625, 3.9717E+1,
11401588, 4.0164E+1,
11526550, 4.0621E+1,
11651513, 4.1102E+1,
11776475, 4.1545E+1,
11901438, 4.2031E+1,
12026400, 4.2518E+1,
12151363, 4.2945E+1,
12276325, 4.3387E+1,
12401288, 4.3859E+1,
12526250, 4.4271E+1,
12651213, 4.4805E+1,
12776175, 4.5154E+1,
12901138, 4.5691E+1,
13026100, 4.6145E+1,
13151063, 4.6658E+1,
13276025, 4.7066E+1,
13400988, 4.7586E+1,
13525950, 4.8096E+1,
13650913, 4.8545E+1,
13775875, 4.9029E+1,
13900838, 4.941E+1,
14025800, 4.9955E+1,
14150763, 5.0379E+1,
14275725, 5.0781E+1,
14400688, 5.1154E+1,
14525650, 5.1672E+1,
14650613, 5.2105E+1,
14775575, 5.2643E+1,
14900538, 5.3045E+1,
15025500, 5.3484E+1,
15150463, 5.3961E+1,
15275425, 5.451E+1,
15400388, 5.4975E+1,
15525350, 5.5475E+1,
15650313, 5.5994E+1,
15775275, 5.6354E+1,
15900238, 5.6982E+1,
