        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                     0.021415719
                 0.10999                      0.36531677
                 0.20998                      0.70874049
                 0.30997                       1.0515554
                 0.40996                       1.3936293
                 0.50995                       1.7348318
                 0.60994                       2.0750406
                 0.70993                       2.4141452
                 0.80992                       2.7520379
                 0.90991                       3.0886194
                  1.0099                        3.423801
                 1.10989                       3.7575046
                 1.20988                       4.0896642
                 1.30987                       4.4202251
                 1.40986                       4.7491449
                 1.50985                       5.0763921
                 1.60984                       5.4019466
                 1.70983                       5.7257983
                 1.80982                       6.0538831
                 1.90981                       6.3809152
                  2.0098                       6.7069072
                 2.10979                       7.0318782
                 2.20978                       7.3558529
                 2.30977                       7.6788608
                 2.40976                       8.0009351
                 2.50975                       8.3221122
                 2.60974                       8.6424304
                 2.70973                       8.9619298
                 2.80972                       9.2806515
                 2.90971                       9.5986369
                  3.0097                       9.9159274
                 3.10969                       10.232564
                 3.20968                       10.548588
                 3.30967                       10.864037
                 3.40966                        11.17895
                 3.50965                       11.493365
                 3.60964                       11.807316
                 3.70963                       12.120838
                 3.80962                       12.433963
                 3.90961                       12.746721
                  4.0096                       13.059143
                 4.10959                       13.371256
                 4.20958                       13.683085
                 4.30957                       13.994657
                 4.40956                       14.305993
                 4.50955                       14.617117
                 4.60954                       14.928048
                 4.70953                       15.238806
                 4.80952                       15.549408
                 4.90951                       15.859873
                  5.0095                       16.170215
                 5.10949                        16.48045
                 5.20948                       16.790592
                 5.30947                       17.102506
                 5.40946                        17.41442
                 5.50945                       17.726345
                 5.60944                       18.038292
                 5.70943                       18.350271
                 5.80942                       18.662292
                 5.90941                       18.974363
                  6.0094                       19.286493
                 6.10939                        19.59869
                 6.20938                       19.910962
                 6.30937                       20.223315
                 6.40936                       20.535756
                 6.50935                       20.848292
                 6.60934                       21.160928
                 6.70933                        21.47367
                 6.80932                       21.786523
                 6.90931                       22.099492
                  7.0093                       22.412583
                 7.10929                         22.7258
                 7.20928                       23.039147
                 7.30927                       23.352628
