        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                     0.025633351
                 0.10999                      0.36670653
                 0.20998                      0.70513263
                 0.30997                        1.040769
                 0.40996                       1.3734679
                 0.50995                       1.7030938
                 0.60994                        2.029538
                 0.70993                       2.3527299
                 0.80992                       2.6726411
                 0.90991                       2.9892837
                  1.0099                       3.3027027
                 1.10989                       3.6129652
                 1.20988                       3.9201496
                 1.30987                       4.2243368
                 1.40986                       4.5256038
                 1.50985                       4.8240193
                 1.60984                       5.1196425
                 1.70983                       5.4125225
                 1.80982                       5.7026987
                 1.90981                       5.9902023
                  2.0098                       6.2750573
                 2.10979                       6.5572818
                 2.20978                       6.8368892
                 2.30977                       7.1441787
                 2.40976                       7.4514799
                 2.50975                       7.7587987
                 2.60974                       8.0661392
                 2.70973                       8.3735045
                 2.80972                       8.6808968
                 2.90971                       8.9883178
                  3.0097                       9.2957686
                 3.10969                       9.6032501
                 3.20968                       9.9107631
                 3.30967                       10.218308
                 3.40966                       10.525886
                 3.50965                       10.833497
                 3.60964                       11.141143
                 3.70963                       11.448822
                 3.80962                       11.756537
                 3.90961                       12.064288
                  4.0096                       12.372076
                 4.10959                       12.679901
                 4.20958                       12.987765
                 4.30957                       13.295669
                 4.40956                       13.603613
                 4.50955                         13.9116
                 4.60954                        14.21963
                 4.70953                       14.527705
                 4.80952                       14.835826
                 4.90951                       15.143994
                  5.0095                       15.452211
                 5.10949                       15.760479
                 5.20948                       16.068799
                 5.30947                       16.377173
                 5.40946                       16.685602
                 5.50945                       16.995539
                 5.60944                       17.305589
                 5.70943                       17.615752
                 5.80942                       17.926031
                 5.90941                       18.236428
                  6.0094                       18.546944
                 6.10939                       18.857581
                 6.20938                       19.168342
                 6.30937                       19.479228
                 6.40936                       19.790241
                 6.50935                       20.101384
                 6.60934                       20.412658
                 6.70933                       20.724066
                 6.80932                        21.03561
                 6.90931                       21.347291
                  7.0093                       21.659112
                 7.10929                       21.971076
                 7.20928                       22.283183
                 7.30927                       22.595437
                 7.40926                       22.907839
                 7.50925                       23.220392
                 7.60924                       23.533098
                 7.70923                       23.845959
                 7.80922                       24.158978
                 7.90921                       24.472156
                  8.0092                       24.785496
                 8.10919                       25.099001
                 8.20918                       25.412672
                 8.30917                       25.726511
                 8.40916                       26.040522
                 8.50915                       26.354706
                 8.60914                       26.669066
                 8.70913                       26.983604
                 8.80912                       27.298322
                 8.90911                       27.613222
                  9.0091                       27.928308
                 9.10909                       28.243581
                 9.20908                       28.559044
                 9.30907                       28.874699
                 9.40906                       29.190549
                 9.50905                       29.506595
                 9.60904                       29.822841
                 9.70903                       30.139288
                 9.80902                        30.45594
                 9.90901                       30.772798
                  10.009                       31.089865
                10.10899                       31.407144
                10.20898                       31.724636
                10.30897                       32.042345
                10.40896                       32.360272
                10.50895                       32.678421
                10.60894                       32.996793
                10.70893                       33.315392
                10.80892                       33.634219
                10.90891                       33.953278
                 11.0089                        34.27257
                11.10889                       34.592098
                11.20888                       34.911865
                11.30887                       35.231874
                11.40886                       35.552126
                11.50885                       35.872624
                11.60884                       36.193371
                11.70883                        36.51437
                11.80882                       36.835623
                11.90881                       37.157132
                 12.0088                       37.478901
                12.10879                       37.800931
                12.20878                       38.123225
                12.30877                       38.445787
                12.40876                       38.768617
                12.50875                       39.091721
                12.60874                       39.415098
                12.70873                       39.738754
                12.80872                       40.062689
                12.90871                       40.386907
