        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                     0.032133543
                 0.10999                      0.52399927
                 0.20998                         1.01089
                 0.30997                       1.4928057
                 0.40996                       1.9697524
                 0.50995                       2.4417363
                 0.60994                       2.9087635
                 0.70993                       3.3708401
                 0.80992                        3.827972
                 0.90991                        4.280165
                  1.0099                        4.727425
                 1.10989                       5.1697574
                 1.20988                       5.6071677
                 1.30987                       6.0396614
                 1.40986                       6.4672437
                 1.50985                       6.8899197
                 1.60984                       7.3076945
                 1.70983                        7.720573
                 1.80982                       8.1285599
                 1.90981                       8.5316599
                  2.0098                       8.9298777
                 2.10979                       9.3232175
                 2.20978                       9.7116839
                 2.30977                       10.095281
                 2.40976                       10.474013
                 2.50975                       10.847883
                 2.60974                       11.216896
                 2.70973                       11.581056
                 2.80972                       11.940365
                 2.90971                       12.294828
                  3.0097                       12.644447
                 3.10969                       12.989227
                 3.20968                        13.32917
                 3.30967                       13.664279
                 3.40966                       13.994557
                 3.50965                       14.320007
                 3.60964                       14.640632
                 3.70963                       14.956434
                 3.80962                       15.267416
                 3.90961                       15.573579
                  4.0096                       15.874927
                 4.10959                       16.171461
                 4.20958                       16.463183
                 4.30957                       16.750095
                 4.40956                       17.032198
                 4.50955                       17.309496
                 4.60954                       17.581988
                 4.70953                       17.849676
                 4.80952                       18.112561
                 4.90951                       18.370645
                  5.0095                       18.623929
                 5.10949                       18.872413
                 5.20948                       19.116099
                 5.30947                       19.354986
                 5.40946                       19.589076
                 5.50945                       19.818369
                 5.60944                       20.042865
                 5.70943                       20.262564
                 5.80942                       20.477467
                 5.90941                       20.687573
                  6.0094                       20.892883
                 6.10939                       21.093395
                 6.20938                        21.28911
                 6.30937                       21.480026
                 6.40936                       21.666144
                 6.50935                       21.847463
                 6.60934                       22.023981
                 6.70933                       22.195698
                 6.80932                       22.362612
                 6.90931                       22.524723
                  7.0093                       22.682028
                 7.10929                       22.834527
                 7.20928                       22.982218
                 7.30927                       23.125098
                 7.40926                       23.263167
                 7.50925                       23.396423
                 7.60924                       23.713835
                 7.70923                         24.0315
                 7.80922                       24.349421
                 7.90921                       24.667602
                  8.0092                       24.986048
                 8.10919                       25.304762
                 8.20918                       25.623749
                 8.30917                       25.943012
                 8.40916                       26.262556
                 8.50915                       26.582386
                 8.60914                       26.902504
                 8.70913                       27.222916
                 8.80912                       27.543626
                 8.90911                       27.864637
                  9.0091                       28.185954
                 9.10909                       28.507581
                 9.20908                       28.829523
                 9.30907                       29.151784
                 9.40906                       29.474367
                 9.50905                       29.797278
                 9.60904                        30.12052
                 9.70903                       30.444098
                 9.80902                       30.768016
                 9.90901                       31.092279
                  10.009                        31.41689
                10.10899                       31.741855
                10.20898                       32.067177
                10.30897                       32.392862
                10.40896                       32.718913
                10.50895                       33.045334
                10.60894                       33.372131
                10.70893                       33.699307
                10.80892                       34.026868
                10.90891                       34.354818
                 11.0089                       34.683161
                11.10889                       35.011901
                11.20888                       35.341044
