        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                       2.1275526
                 0.10999                       23.047455
                 0.20998                       36.048412
                 0.30997                       44.323596
                 0.40996                       50.172609
                 0.50995                       54.738152
                 0.60994                       58.698118
                 0.70993                       62.181986
                 0.80992                        65.33461
                 0.90991                       68.244964
                  1.0099                       70.971605
                 1.10989                       73.554745
                 1.20988                       76.082884
                 1.30987                       78.519883
                 1.40986                        80.88015
                 1.50985                       83.174202
                 1.60984                       85.409829
                 1.70983                       87.592902
                 1.80982                       89.727928
                 1.90981                       91.818453
                  2.0098                       93.867328
                 2.10979                       95.876903
                 2.20978                       97.849163
                 2.30977                       99.785818
                 2.40976                       101.68838
                 2.50975                       103.55818
                 2.60974                       105.39647
                 2.70973                       107.20436
                 2.80972                        108.9829
                 2.90971                       110.73308
                  3.0097                       112.45581
                 3.10969                       114.15198
                 3.20968                       115.82241
                 3.30967                        117.4679
                 3.40966                       119.08921
                 3.50965                       120.68707
                 3.60964                       122.26217
                 3.70963                       123.81518
                 3.80962                       125.34676
                 3.90961                       126.85751
                  4.0096                       128.34804
                 4.10959                       129.81892
                 4.20958                       131.29122
                 4.30957                       132.74542
                 4.40956                       134.18202
                 4.50955                       135.60152
                 4.60954                       137.00438
                 4.70953                       138.39107
                 4.80952                       139.76202
                 4.90951                       141.11766
                  5.0095                        142.4584
                 5.10949                       143.78464
                 5.20948                       145.09675
                 5.30947                       146.39512
                 5.40946                        147.6801
                 5.50945                       148.95203
                 5.60944                       150.21124
                 5.70943                       151.45807
                 5.80942                       152.69283
                 5.90941                       153.91581
                  6.0094                       155.12731
                 6.10939                       156.32761
                 6.20938                       157.51698
                 6.30937                       158.69569
                 6.40936                         159.864
                 6.50935                       161.02215
                 6.60934                       162.17038
                 6.70933                       163.30893
                 6.80932                       164.43801
                 6.90931                       165.55785
                  7.0093                       166.66866
                 7.10929                       167.77063
                 7.20928                       168.86396
                 7.30927                       169.94885
                 7.40926                       171.02548
                 7.50925                       172.09403
                 7.60924                       173.15466
                 7.70923                       174.20755
                 7.80922                       175.25287
                 7.90921                       176.29075
                  8.0092                       177.32137
                 8.10919                       178.34485
                 8.20918                       179.36135
                 8.30917                       180.37101
                 8.40916                       181.38024
                 8.50915                       182.38295
                 8.60914                       183.37927
                 8.70913                       184.36932
                 8.80912                        185.3532
                 8.90911                       186.33105
                  9.0091                       187.30295
                 9.10909                       188.26903
                 9.20908                       189.22937
                 9.30907                       190.18407
                 9.40906                       191.13324
                 9.50905                       192.07696
                 9.60904                       193.01532
                 9.70903                        193.9484
                 9.80902                       194.87629
                 9.90901                       195.79906
                  10.009                        196.7168
                10.10899                       197.62957
                10.20898                       198.53745
                10.30897                        199.4405
                10.40896                        200.3388
                10.50895                        201.2324
                10.60894                       202.12136
                10.70893                       203.00575
                10.80892                       203.88562
                10.90891                       204.76103
                 11.0089                       205.63202
                11.10889                       206.49864
                11.20888                       207.36095
                11.30887                       208.21899
                11.40886                       209.07281
                11.50885                       209.92244
                11.60884                       210.76792
                11.70883                        211.6093
                11.80882                        212.4466
                11.90881                       213.27987
                 12.0088                       214.10914
                12.10879                       214.93443
                12.20878                       215.75578
                12.30877                       216.57322
                12.40876                       217.38677
                12.50875                       218.19645
                12.60874                       219.00229
                12.70873                       219.80431
                12.80872                       220.60253
                12.90871                       221.39697
                 13.0087                       222.18765
                13.10869                       222.97458
                13.20868                       223.75778
                13.30867                       224.53726
                13.40866                       225.31304
                13.50865                       226.08511
                13.60864                        226.8535
                13.70863                       227.61822
                13.80862                       228.37926
                13.90861                       229.13664
                 14.0086                       229.89036
                14.10859                       230.64042
                14.20858                       231.38683
                14.30857                       232.12959
                14.40856                       232.86869
                14.50855                       233.60415
                14.60854                       234.33596
                14.70853                       235.06411
                14.80852                        235.7886
                14.90851                       236.50944
                 15.0085                        237.2266
                15.10849                        237.9401
                15.20848                       238.64991
                15.30847                       239.35604
                15.40846                       240.05847
                15.50845                        240.7572
                15.60844                       241.45222
                15.70843                       242.14351
                15.80842                       242.83106
                15.90841                       243.51486
                 16.0084                        244.1949
                16.10839                       244.87117
                16.20838                       245.54365
                16.30837                       246.21232
                16.40836                       246.87717
                16.50835                       247.53818
                16.60834                       248.19534
                16.70833                       248.84863
                16.80832                       249.49803
                16.90831                       250.14352
                 17.0083                       250.78509
                17.10829                       251.42271
                17.20828                       252.05636
                17.30827                       252.68602
                17.40826                       253.31168
                17.50825                       253.93331
                17.60824                       254.55088
                17.70823                       255.16439
                17.80822                       255.77379
                17.90821                       256.37908
                 18.0082                       256.98022
                18.10819                        257.5772
                18.20818                       258.16999
                18.30817                       258.75856
                18.40816                        259.3429
                18.50815                       259.92297
                18.60814                       260.49874
                18.70813                       261.07021
                18.80812                       261.63733
                18.90811                       262.20009
                 19.0081                       262.75846
                19.10809                       263.31241
                19.20808                       263.86191
                19.30807                       264.40694
                19.40806                       264.94748
                19.50805                       265.48349
                19.60804                       266.01495
                19.70803                       266.54184
                19.80802                       267.06412
                19.90801                       267.58177
                  20.008                       268.09476
                20.10799                       268.60307
                20.20798                       269.10666
                20.30797                       269.60552
                20.40796                       270.09962
                20.50795                       270.58893
                20.60794                       271.07341
                20.70793                       271.55306
                20.80792                       272.02783
                20.90791                       272.49771
                 21.0079                       272.96267
                21.10789                       273.42268
                21.20788                       273.87772
                21.30787                       274.32776
                21.40786                       274.77278
                21.50785                       275.21275
                21.60784                       275.64765
                21.70783                       276.07745
                21.80782                       276.50213
                21.90781                       276.92166
                 22.0078                       277.33603
                22.10779                       277.74521
                22.20778                       278.14918
                22.30777                       278.54791
                22.40776                       278.94138
                22.50775                       279.32957
                22.60774                       279.71247
                22.70773                       280.09004
                22.80772                       280.46228
                22.90771                       280.82915
                 23.0077                       281.19064
