        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                       2.1031251
                 0.10999                       22.522866
                 0.20998                       32.686024
                 0.30997                       38.451156
                 0.40996                       42.800909
                 0.50995                       46.342283
                 0.60994                       49.446727
                 0.70993                       52.156641
                 0.80992                       54.567002
                 0.90991                       56.742939
                  1.0099                       58.730667
                 1.10989                       60.611242
                 1.20988                       62.365352
                 1.30987                       64.012054
                 1.40986                        65.56621
                 1.50985                       67.039615
                 1.60984                       68.441781
                 1.70983                        69.78049
                 1.80982                       71.062195
                 1.90981                       72.292308
                  2.0098                       73.475423
                 2.10979                       74.615471
                 2.20978                       75.715854
                 2.30977                       76.779536
                 2.40976                       77.809121
                 2.50975                       78.806912
                 2.60974                       79.774959
                 2.70973                       80.715096
                 2.80972                       81.649352
                 2.90971                       82.559302
                  3.0097                       83.446288
                 3.10969                       84.311533
                 3.20968                       85.156157
                 3.30967                        85.98119
                 3.40966                       86.787582
                 3.50965                        87.57621
                 3.60964                       88.347889
                 3.70963                       89.103376
                 3.80962                       89.843377
                 3.90961                       90.568551
                  4.0096                       91.279515
                 4.10959                       91.976848
                 4.20958                       92.661093
                 4.30957                       93.332763
                 4.40956                       93.992339
                 4.50955                       94.640277
                 4.60954                       95.277007
                 4.70953                       95.902938
                 4.80952                       96.518453
                 4.90951                       97.123921
                  5.0095                        97.71969
                 5.10949                       98.306089
                 5.20948                       98.883433
                 5.30947                       99.452024
                 5.40946                       100.01215
                 5.50945                       100.56407
                 5.60944                       101.10806
                 5.70943                       101.64437
                 5.80942                       102.17323
                 5.90941                       102.69487
                  6.0094                        103.2095
                 6.10939                       103.71735
                 6.20938                        104.2186
                 6.30937                       104.71345
                 6.40936                       105.20209
                 6.50935                        105.6847
                 6.60934                       106.16143
                 6.70933                       106.63247
                 6.80932                       107.09795
                 6.90931                       107.55805
                  7.0093                        108.0129
                 7.10929                       108.46264
                 7.20928                       108.90742
                 7.30927                       109.34735
                 7.40926                       109.78257
                 7.50925                        110.2132
                 7.60924                       110.63935
                 7.70923                       111.06114
                 7.80922                       111.47868
                 7.90921                       111.89208
                  8.0092                       112.30143
                 8.10919                       112.70683
                 8.20918                       113.10839
                 8.30917                       113.50619
                 8.40916                       113.90032
                 8.50915                       114.29087
                 8.60914                       114.67792
                 8.70913                       115.06156
                 8.80912                       115.44186
                 8.90911                        115.8189
                  9.0091                       116.19275
                 9.10909                       116.56348
                 9.20908                       116.93117
                 9.30907                       117.29588
                 9.40906                       117.65767
                 9.50905                       118.01661
                 9.60904                       118.37277
                 9.70903                       118.72619
                 9.80902                       119.07694
                 9.90901                       119.42508
                  10.009                       119.77583
                10.10899                       120.12411
                10.20898                       120.46996
                10.30897                       120.81343
                10.40896                       121.15457
                10.50895                       121.49344
                10.60894                       121.83006
                10.70893                        122.1645
                10.80892                       122.49678
                10.90891                       122.82696
                 11.0089                       123.15508
                11.10889                       123.48116
                11.20888                       123.80527
                11.30887                       124.12742
                11.40886                       124.44766
                11.50885                       124.76602
                11.60884                       125.08254
                11.70883                       125.39725
                11.80882                       125.71019
                11.90881                       126.02138
                 12.0088                       126.33086
                12.10879                       126.63866
                12.20878                       126.94481
                12.30877                       127.24933
                12.40876                       127.55226
                12.50875                       127.85362
                12.60874                       128.15344
                12.70873                       128.45175
                12.80872                       128.74857
                12.90871                       129.04392
                 13.0087                       129.33783
                13.10869                       129.63033
                13.20868                       129.92143
                13.30867                       130.21117
                13.40866                       130.49955
                13.50865                        130.7866
                13.60864                       131.07235
                13.70863                       131.35681
                13.80862                          131.64
                13.90861                       131.92194
                 14.0086                       132.20266
                14.10859                       132.48216
                14.20858                       132.76048
                14.30857                       133.03761
                14.40856                       133.31359
                14.50855                       133.58842
                14.60854                       133.86213
                14.70853                       134.13473
                14.80852                       134.40624
                14.90851                       134.67667
                 15.0085                       134.94603
                15.10849                       135.21434
                15.20848                       135.48161
                15.30847                       135.74787
                15.40846                       136.01311
                15.50845                       136.27735
                15.60844                       136.54062
                15.70843                       136.80291
                15.80842                       137.06424
                15.90841                       137.32462
                 16.0084                       137.58407
                16.10839                       137.84259
                16.20838                        138.1002
                16.30837                        138.3569
                16.40836                       138.61272
                16.50835                       138.86764
                16.60834                        139.1217
                16.70833                       139.37489
                16.80832                       139.62723
                16.90831                       139.87872
                 17.0083                       140.12937
                17.10829                        140.3792
                17.20828                        140.6282
                17.30827                        140.8764
                17.40826                       141.12379
                17.50825                       141.37039
                17.60824                        141.6162
                17.70823                       141.86123
                17.80822                       142.10548
                17.90821                       142.34897
                 18.0082                        142.5917
                18.10819                       142.83367
                18.20818                        143.0749
                18.30817                       143.31539
                18.40816                       143.55514
                18.50815                       143.79417
                18.60814                       144.03247
                18.70813                       144.27005
                18.80812                       144.50692
                18.90811                       144.74308
                 19.0081                       144.97855
                19.10809                       145.21331
                19.20808                       145.44738
                19.30807                       145.68077
                19.40806                       145.91346
                19.50805                       146.14548
                19.60804                       146.37683
                19.70803                        146.6075
                19.80802                       146.83751
                19.90801                       147.06685
                  20.008                       147.29553
                20.10799                       147.52356
                20.20798                       147.75093
                20.30797                       147.97765
                20.40796                       148.20372
                20.50795                       148.42914
                20.60794                       148.65393
                20.70793                       148.87808
                20.80792                       149.10158
                20.90791                       149.32446
                 21.0079                        149.5467
                21.10789                       149.76831
                21.20788                       149.98929
                21.30787                       150.20965
                21.40786                       150.42938
                21.50785                       150.64849
                21.60784                       150.86698
                21.70783                       151.08485
                21.80782                       151.30209
                21.90781                       151.51873
                 22.0078                       151.73474
                22.10779                       151.95014
                22.20778                       152.16493
                22.30777                        152.3791
                22.40776                       152.59266
                22.50775                       152.80561
                22.60774                       153.01794
                22.70773                       153.22966
                22.80772                       153.44078
                22.90771                       153.65128
                 23.0077                       153.86117
                23.10769                       154.07045
                23.20768                       154.27912
                23.30767                       154.48718
                23.40766                       154.69463
                23.50765                       154.90146
                23.60764                       155.10769
                23.70763                        155.3133
                23.80762                        155.5183
                23.90761                       155.72268
                 24.0076                       155.92645
                24.10759                        156.1296
                24.20758                       156.33214
                24.30757                       156.53406
                24.40756                       156.73536
                24.50755                       156.93604
                24.60754                       157.13609
                24.70753                       157.33553
                24.80752                       157.53434
                24.90751                       157.73252
                      25                       157.91528
                 25.0075                       157.93015
                25.10749                       158.12811
                25.20748                       158.32543
                25.30747                       158.52213
                25.40746                       158.71819
                25.50745                       158.91362
                25.60744                       159.10841
                25.70743                       159.30256
                25.80742                       159.49607
                25.90741                       159.68893
                 26.0074                       159.88115
                26.10739                       160.07271
                26.20738                       160.26363
                26.30737                       160.45389
                26.40736                       160.64349
                26.50735                       160.83244
                26.60734                       161.02072
                26.70733                       161.20833
                26.80732                       161.39527
                26.90731                       161.58154
                 27.0073                       161.76714
                27.10729                       161.95205
                27.20728                       162.13629
                27.30727                       162.31983
                27.40726                       162.50269
                27.50725                       162.68485
                27.60724                       162.86631
                27.70723                       163.04708
                27.80722                       163.22714
                27.90721                       163.40649
                 28.0072                       163.58512
                28.10719                       163.76304
                28.20718                       163.94024
                28.30717                       164.11672
                28.40716                       164.29246
                28.50715                       164.46747
                28.60714                       164.64175
                28.70713                       164.81528
                28.80712                       164.98806
                28.90711                       165.16009
                 29.0071                       165.33137
                29.10709                       165.50188
                29.20708                       165.67163
                29.30707                       165.84061
                29.40706                       166.00881
                29.50705                       166.17623
                29.60704                       166.34287
                29.70703                       166.50871
                29.80702                       166.67377
                29.90701                       166.83802
                  30.007                       167.00146
                30.10699                       167.16409
                30.20698                       167.32591
                30.30697                       167.48691
                30.40696                       167.64708
                30.50695                       167.80641
                30.60694                       167.96491
                30.70693                       168.12256
                30.80692                       168.27937
                30.90691                       168.43532
                 31.0069                       168.59041
                31.10689                       168.74464
                31.20688                       168.89799
                31.30687                       169.05047
                31.40686                       169.20207
                31.50685                       169.35277
