        Frequency / MHz                Z1,1/abs,linear
----------------------------------------------------------------------
                    0.01                       2.1031984
                 0.10999                       22.522865
                 0.20998                       32.686024
                 0.30997                       38.452568
                 0.40996                       42.801328
                 0.50995                       46.342284
                 0.60994                       49.446461
                 0.70993                       52.156358
                 0.80992                       54.566801
                 0.90991                       56.742844
                  1.0099                       58.730667
                 1.10989                       60.611351
                 1.20988                       62.365544
                 1.30987                       64.012308
                 1.40986                       65.566506
                 1.50985                       67.039935
                 1.60984                       68.442111
                 1.70983                       69.780818
                 1.80982                       71.062512
                 1.90981                       72.292606
                  2.0098                       73.475695
                 2.10979                       74.615713
                 2.20978                       75.716062
                 2.30977                       76.779707
                 2.40976                       77.809252
                 2.50975                       78.807001
                 2.60974                       79.775004
                 2.70973                       80.715097
                 2.80972                       81.649356
                 2.90971                        82.55931
                  3.0097                       83.446299
                 3.10969                       84.311548
                 3.20968                       85.156176
                 3.30967                       85.981214
                 3.40966                        86.78761
                 3.50965                       87.576243
                 3.60964                       88.347927
                 3.70963                       89.103419
                 3.80962                       89.843425
                 3.90961                       90.568604
                  4.0096                       91.279573
                 4.10959                       91.976911
                 4.20958                       92.661162
                 4.30957                       93.332837
                 4.40956                       93.992418
                 4.50955                       94.640361
                 4.60954                       95.277096
                 4.70953                       95.903031
                 4.80952                       96.518551
                 4.90951                       97.124023
                  5.0095                       97.719796
                 5.10949                       98.306199
                 5.20948                       98.883547
                 5.30947                       99.452141
                 5.40946                       100.01227
                 5.50945                        100.5642
                 5.60944                       101.10819
                 5.70943                        101.6445
                 5.80942                       102.17336
                 5.90941                         102.695
                  6.0094                       103.20964
                 6.10939                       103.71748
                 6.20938                       104.21873
                 6.30937                       104.71359
                 6.40936                       105.20223
                 6.50935                       105.68483
                 6.60934                       106.16157
                 6.70933                        106.6326
                 6.80932                       107.09809
                 6.90931                       107.55818
                  7.0093                       108.01303
                 7.10929                       108.46277
                 7.20928                       108.90754
                 7.30927                       109.34747
                 7.40926                       109.78269
                 7.50925                       110.21331
                 7.60924                       110.63947
                 7.70923                       111.06125
                 7.80922                       111.47879
                 7.90921                       111.89218
                  8.0092                       112.30153
                 8.10919                       112.70693
                 8.20918                       113.10848
                 8.30917                       113.50628
                 8.40916                        113.9004
                 8.50915                       114.29095
                 8.60914                         114.678
                 8.70913                       115.06163
                 8.80912                       115.44192
                 8.90911                       115.81896
                  9.0091                        116.1928
                 9.10909                       116.56353
                 9.20908                       116.93121
                 9.30907                       117.29591
                 9.40906                        117.6577
                 9.50905                       118.01664
                 9.60904                       118.37279
                 9.70903                        118.7262
                 9.80902                       119.07695
                 9.90901                       119.42508
                  10.009                       119.77582
                10.10899                       120.12409
                10.20898                       120.46993
                10.30897                        120.8134
                10.40896                       121.15453
                10.50895                       121.49339
                10.60894                       121.83001
                10.70893                       122.16443
                10.80892                       122.49671
                10.90891                       122.82688
                 11.0089                       123.15499
                11.10889                       123.48107
                11.20888                       123.80516
                11.30887                        124.1273
                11.40886                       124.44753
                11.50885                       124.76589
                11.60884                        125.0824
                11.70883                        125.3971
                11.80882                       125.71003
                11.90881                       126.02122
                 12.0088                       126.33069
                12.10879                       126.63848
                12.20878                       126.94462
                12.30877                       127.24914
                12.40876                       127.55206
                12.50875                       127.85341
                12.60874                       128.15323
                12.70873                       128.45153
                12.80872                       128.74834
