NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
"23 Aug 2018 ","11:36:01",
CHAN,MEAS,FORMAT
1,Z:R,LIN_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
30000,100000000,
POINTS, POWER, IF_BW
1601,0E0,3700
FREQUENCY,UNITS,
Hz,U,
30000, 2.3634E-1,
92481, 5.6921E-1,
154963, 9.505E-1,
217444, 1.2945E+0,
279925, 1.6475E+0,
342406, 2.0061E+0,
404888, 2.3438E+0,
467369, 2.7343E+0,
529850, 3.0754E+0,
592331, 3.4158E+0,
654813, 3.7786E+0,
717294, 4.1763E+0,
779775, 4.499E+0,
842256, 4.8457E+0,
904738, 5.2146E+0,
967219, 5.5706E+0,
1029700, 5.9016E+0,
1092181, 6.2534E+0,
1154663, 6.6162E+0,
1217144, 6.9312E+0,
1279625, 7.3591E+0,
1342106, 7.668E+0,
1404588, 8.0488E+0,
1467069, 8.3901E+0,
1529550, 8.7656E+0,
1592031, 9.1104E+0,
1654513, 9.4321E+0,
1716994, 9.7769E+0,
1779475, 1.011E+1,
1841956, 1.0521E+1,
1904438, 1.0844E+1,
1966919, 1.1235E+1,
2029400, 1.1541E+1,
2091881, 1.1894E+1,
2154363, 1.2245E+1,
2216844, 1.2589E+1,
2279325, 1.2906E+1,
2341806, 1.3308E+1,
2404288, 1.3635E+1,
2466769, 1.3986E+1,
2529250, 1.4351E+1,
2591731, 1.4713E+1,
2654213, 1.5073E+1,
2716694, 1.536E+1,
2779175, 1.5735E+1,
2841656, 1.605E+1,
2904138, 1.642E+1,
2966619, 1.6771E+1,
3029100, 1.7131E+1,
3091581, 1.7463E+1,
3154063, 1.7845E+1,
3216544, 1.8177E+1,
3279025, 1.8508E+1,
3341506, 1.8858E+1,
3403988, 1.9237E+1,
3466469, 1.9563E+1,
3528950, 1.9895E+1,
3591431, 2.0261E+1,
3653913, 2.0608E+1,
3716394, 2.0945E+1,
3778875, 2.1303E+1,
3841356, 2.1638E+1,
3903838, 2.1992E+1,
3966319, 2.2334E+1,
4028800, 2.2624E+1,
4091281, 2.2981E+1,
4153763, 2.341E+1,
4216244, 2.371E+1,
4278725, 2.4043E+1,
4341206, 2.4391E+1,
4403688, 2.4771E+1,
4466169, 2.5115E+1,
4528650, 2.5452E+1,
4591131, 2.5778E+1,
4653613, 2.6156E+1,
4716094, 2.6511E+1,
4778575, 2.6833E+1,
4841056, 2.7186E+1,
4903538, 2.7494E+1,
4966019, 2.7819E+1,
5028500, 2.8156E+1,
5090981, 2.8552E+1,
5153463, 2.8901E+1,
5215944, 2.9264E+1,
5278425, 2.9591E+1,
5340906, 2.9945E+1,
5403388, 3.0261E+1,
5465869, 3.0564E+1,
5528350, 3.096E+1,
5590831, 3.131E+1,
5653313, 3.1596E+1,
5715794, 3.1996E+1,
5778275, 3.2266E+1,
5840756, 3.2689E+1,
5903238, 3.3002E+1,
5965719, 3.3346E+1,
6028200, 3.3707E+1,
6090681, 3.4045E+1,
6153163, 3.4359E+1,
6215644, 3.4709E+1,
6278125, 3.5082E+1,
6340606, 3.5467E+1,
6403088, 3.5789E+1,
6465569, 3.6145E+1,
6528050, 3.65E+1,
6590531, 3.6822E+1,
6653013, 3.7119E+1,
6715494, 3.7516E+1,
6777975, 3.7871E+1,
6840456, 3.823E+1,
6902938, 3.8523E+1,
6965419, 3.8891E+1,
7027900, 3.9234E+1,
7090381, 3.9539E+1,
7152863, 3.9832E+1,
7215344, 4.0258E+1,
7277825, 4.0627E+1,
7340306, 4.0945E+1,
7402788, 4.1311E+1,
7465269, 4.1693E+1,
7527750, 4.1932E+1,
7590231, 4.2313E+1,
7652713, 4.2639E+1,
7715194, 4.3021E+1,
7777675, 4.3461E+1,
7840156, 4.3729E+1,
7902638, 4.4035E+1,
7965119, 4.4436E+1,
8027600, 4.4736E+1,
